,playerID,yearID,BB,HR,RBI,SB,MVP,BA,OBP,SLG
0,adcocjo01,1954,44,23,87.0,1.0,1,0.308,0.3647912885662432,0.52
1,amorosa01,1954,31,9,34.0,1.0,0,0.2737642585551331,0.3525423728813559,0.49049429657794674
2,burgesm01,1954,42,4,46.0,1.0,0,0.3681159420289855,0.4322250639386189,0.5101449275362319
3,coopewa01,1954,21,7,32.0,0.0,0,0.310126582278481,0.39779005524861877,0.5316455696202531
4,frazijo01,1954,13,3,18.0,0.0,0,0.29545454545454547,0.3883495145631068,0.5
5,hodgegi01,1954,74,42,130.0,3.0,1,0.30397236614853196,0.37295690936106984,0.5785837651122625
6,kluszte01,1954,78,49,141.0,0.0,1,0.3263525305410122,0.40667678300455234,0.6422338568935427
7,lopatst01,1954,33,14,42.0,1.0,0,0.28957528957528955,0.3694915254237288,0.5444015444015444
8,mantlmi01,1954,102,27,102.0,5.0,1,0.3001841620626151,0.4083204930662558,0.5248618784530387
9,matheed01,1954,113,40,103.0,10.0,1,0.28991596638655465,0.4230769230769231,0.6029411764705882
10,mayswi01,1954,66,41,110.0,8.0,1,0.34513274336283184,0.4109375,0.6672566371681415
11,melesa01,1954,12,7,23.0,0.0,0,0.3181818181818182,0.3783783783783784,0.5227272727272727
12,minosmi01,1954,77,19,116.0,18.0,1,0.3204225352112676,0.4110612855007474,0.5352112676056338
13,musiast01,1954,103,35,126.0,1.0,1,0.3299492385786802,0.42836879432624114,0.6074450084602369
14,rhodedu01,1954,18,15,50.0,1.0,1,0.34146341463414637,0.4098360655737705,0.6951219512195121
15,robinja02,1954,63,15,59.0,7.0,0,0.31088082901554404,0.41304347826086957,0.5051813471502591
16,rosenal01,1954,85,24,102.0,6.0,1,0.30042918454935624,0.40353982300884955,0.5064377682403434
17,sauerha01,1954,70,41,103.0,2.0,1,0.28846153846153844,0.3747927031509121,0.5634615384615385
18,skowrbi01,1954,19,7,41.0,2.0,0,0.3395348837209302,0.3924050632911392,0.5767441860465117
19,snidedu01,1954,84,40,130.0,6.0,1,0.3407534246575342,0.42330383480825956,0.6472602739726028
20,thomafr03,1954,51,23,94.0,3.0,1,0.29809358752166376,0.35901386748844377,0.49740034662045063
21,vernomi01,1954,61,20,97.0,1.0,1,0.2897822445561139,0.3572496263079223,0.49246231155778897
22,willite01,1954,136,29,89.0,0.0,1,0.344559585492228,0.5133079847908745,0.6347150259067358
23,aaronha01,1955,49,27,106.0,3.0,1,0.313953488372093,0.3662613981762918,0.5398671096345515
24,bankser01,1955,45,44,117.0,9.0,1,0.2953020134228188,0.34520123839009287,0.5956375838926175
